GEO.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US02136,441,5361,54160,229891
8610000US02137,9,74,936,4118
8610000US02138,1160,48738,650504,2815080
8610000US02139,1094,43134,1084953,4158752
8610000US02140,509,8460,142475,602639
8610000US02141,476,9308,182637,775898
8610000US02142,542,22807,1454472,4091999
8610000US02143,637,10642,104690,454868
8610000US02144,430,4796,51771,233514
8610000US02145,387,5053,52593,223692
8610000US02148,959,12239,123523,524084
8610000US02149,727,11116,142604,588220
8610000US02150,690,12569,119150,524211
8610000US02151,761,7928,55028,243626
8610000US02152,264,1680,11023,49358
8610000US02153,7,166,792,3378
8610000US02155,1138,18755,247170,998327
8610000US02156,4,63,511,3006
8610000US02163,30,344,3757,16329
8610000US02169,1518,28276,388155,1535687
8610000US02170,269,2097,15785,68827
8610000US02171,370,10626,241554,904998
8610000US02176,505,5402,55508,235506
8610000US02180,619,7423,69310,309972
8610000US02184,1501,28636,356804,1475664
8610000US02185,13,90,920,4226
8610000US02186,435,4757,42477,193362
8610000US02187,6,28,410,1706
8610000US02188,309,3550,27813,122548
8610000US02189,399,5755,79719,321990
8610000US02190,358,7618,96270,413079
8610000US02191,134,1172,12476,50662
8610000US02196,6,6,72,297
8610000US02199,255,21713,907128,2619979
8610000US02201,4,20,208,860
8610000US02203,12,48,537,2114
8610000US02205,13,557,3802,16937
8610000US02210,970,44824,1389189,5560798
8610000US02211,1,a,D,D
8610000US02212,1,b,D,D
8610000US02215,527,53359,683874,3085706
8610000US02217,1,a,D,D
8610000US02222,8,20,193,862
8610000US02228,1,a,D,D
8610000US02238,22,g,D,D
8610000US02241,1,a,D,D
8610000US02269,23,1307,39161,112630
8610000US02283,4,b,D,D
8610000US02297,1,a,D,D
8610000US02301,1330,24996,246152,1054936
8610000US02302,363,6909,80483,361052
8610000US02303,15,f,D,D
8610000US02304,2,a,D,D
8610000US02305,3,b,D,D
8610000US02322,234,5718,67321,281157
8610000US02324,478,5030,47697,206865
8610000US02325,3,30,115,482
8610000US02327,8,33,157,728
8610000US02330,185,1443,11071,53843
8610000US02331,36,142,1232,6002
8610000US02332,330,2257,20597,94479
8610000US02333,253,1975,15979,74774
8610000US02334,23,292,2238,9829
8610000US02337,1,a,D,D
8610000US02338,110,942,7662,38510
8610000US02339,635,7630,68366,308277
8610000US02340,2,a,D,D
8610000US02341,175,1392,9953,49946
8610000US02343,249,2612,27732,120579
8610000US02344,1,e,D,D
8610000US02345,26,365,2109,9748
8610000US02346,525,6767,61386,279040
8610000US02347,281,2600,33616,175107
8610000US02348,1,a,D,D
8610000US02349,1,b,D,D
8610000US02350,1,a,D,D
8610000US02351,334,3774,29723,137761
8610000US02355,6,31,141,644
8610000US02356,270,2635,18417,89431
8610000US02357,3,g,D,D
8610000US02358,8,57,403,2270
8610000US02359,497,5496,58111,269184
8610000US02360,1474,24328,263434,1126490
8610000US02361,12,88,705,4585
8610000US02362,12,347,5147,24831
8610000US02364,387,4741,36376,160369
8610000US02366,11,59,204,1240
8610000US02367,66,1361,24685,108257
8610000US02368,596,7867,78165,337950
8610000US02370,469,6478,105604,535335
8610000US02375,396,6084,63011,279938
8610000US02379,356,6169,68388,317997
8610000US02381,2,a,D,D
8610000US02382,219,1867,14348,65662
8610000US02420,489,4693,50934,226143
8610000US02421,544,11434,757025,1950461
8610000US02445,484,5334,62937,296283
8610000US02446,774,7296,61825,269878
8610000US02447,7,31,254,1091
8610000US02451,1280,44800,1278296,4548121
8610000US02452,456,7989,96002,405754
8610000US02453,812,17653,291801,1156099
8610000US02454,39,988,34550,87001
8610000US02455,5,28,669,3185
8610000US02456,2,a,D,D
8610000US02457,19,g,D,D
8610000US02458,504,7745,131688,656876
8610000US02459,726,11642,184685,792561
8610000US02460,258,2357,23072,101356
8610000US02461,256,2370,34506,159342
8610000US02462,124,5788,133131,514257
8610000US02464,264,4749,104419,358010
8610000US02465,316,2706,28365,132311
8610000US02466,291,10848,150013,614890
8610000US02467,510,11329,107442,481894
8610000US02468,98,492,5300,23172
8610000US02471,21,729,9979,49335
8610000US02472,1012,23492,509298,1875513
8610000US02474,487,3559,30231,136412
8610000US02475,4,22,227,856
8610000US02476,412,3793,39768,173037
8610000US02478,602,6565,69716,303785
8610000US02479,2,a,D,D
8610000US02481,728,12304,310503,1074303
8610000US02482,447,4386,56313,235545
8610000US02492,549,6540,67151,308265
8610000US02493,326,3765,53267,223720
8610000US02494,684,13347,224045,1325622
8610000US02532,305,3408,27774,126146
8610000US02534,68,413,3917,21798
8610000US02535,49,166,1690,9080
8610000US02536,376,2509,21427,100423
8610000US02537,118,1082,9220,42033
8610000US02538,112,1361,8278,39683
8610000US02539,334,1421,16207,100555
8610000US02540,502,5973,57796,269523
8610000US02541,21,72,911,3857
8610000US02542,9,102,1864,8282
8610000US02543,47,1536,23489,100623
8610000US02552,5,6,112,2426
8610000US02553,24,88,581,3194
8610000US02554,925,4057,47279,290596
8610000US02556,107,746,7984,32893
8610000US02557,218,1320,16261,86627
8610000US02558,34,146,626,3636
8610000US02559,111,978,11024,52841
8610000US02561,39,301,3524,15838
8610000US02562,82,835,6992,32138
8610000US02563,381,3149,26753,125102
8610000US02564,18,53,797,8502
8610000US02568,370,2046,17838,92924
8610000US02571,324,5207,46855,206111
8610000US02574,29,145,1452,6655
8610000US02575,90,410,4481,24032
8610000US02576,91,942,11342,44226
8610000US02584,52,190,1830,11393
8610000US02601,1200,19420,202085,893664
8610000US02630,89,410,3383,17653
8610000US02631,306,2078,16345,83142
8610000US02632,264,1668,12254,56512
8610000US02633,243,1351,11242,67616
8610000US02634,1,a,D,D
8610000US02635,88,343,3239,15293
8610000US02637,7,41,377,2462
8610000US02638,90,448,3037,18425
8610000US02639,118,620,5258,29104
8610000US02641,41,214,1766,9323
8610000US02642,101,486,2802,16790
8610000US02643,26,84,606,3477
8610000US02644,72,391,2510,14112
8610000US02645,256,1758,15820,85161
8610000US02646,112,784,4548,26137
8610000US02647,13,67,618,4044
8610000US02648,190,1098,9290,45223
8610000US02649,432,3493,24985,127191
8610000US02650,33,332,3567,17081
8610000US02651,68,353,3101,17265
8610000US02652,62,160,1400,9521
8610000US02653,412,3203,26460,128004
8610000US02655,195,1289,13557,68350
8610000US02657,389,1483,10166,82996
8610000US02659,52,214,2199,12603
8610000US02660,226,1987,16652,86557
8610000US02661,15,e,D,D
8610000US02662,13,47,355,1917
8610000US02663,22,80,447,4227
8610000US02664,323,3473,30012,137576
